"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"14149","Stimuli/endthreevowel_rhyme30.mp3","1","audio-button-response","33","474257","0.0-5.0-0.28",""
"4709","Stimuli/nonrhyme_29_oneline.mp3","1","audio-button-response","34","479536","0.0-5.0-0.29",""
"5840","Stimuli/nonrhyme_31_oneline.mp3","0","audio-button-response","35","485951","0.0-5.0-0.30",""
"5720","Stimuli/nonrhyme_38_oneline.mp3","1","audio-button-response","36","492251","0.0-5.0-0.31",""
"9181","Stimuli/threeVowelSlantRhyme_14.mp3","1","audio-button-response","37","502050","0.0-5.0-0.32",""
"15459","Stimuli/threeVowelSlantRhyme_37.mp3","1","audio-button-response","38","518145","0.0-5.0-0.33",""
"8309","Stimuli/threeVowelSlantRhyme_15.mp3","1","audio-button-response","39","527400","0.0-5.0-0.34",""
"4899","Stimuli/nonrhyme_27_oneline.mp3","1","audio-button-response","40","532907","0.0-5.0-0.35",""
"7411","Stimuli/endthreevowel_rhyme10.mp3","0","audio-button-response","41","540974","0.0-5.0-0.36",""
"9760","Stimuli/onevowelend_rhyme1.mp3","1","audio-button-response","42","551393","0.0-5.0-0.37",""
"5880","Stimuli/nonrhyme_13_oneline.mp3","1","audio-button-response","43","557783","0.0-5.0-0.38",""
"8299","Stimuli/threeVowelSlantRhyme_20.mp3","1","audio-button-response","44","566741","0.0-5.0-0.39",""
"5381","Stimuli/onevowelinternalrhyme4.mp3","1","audio-button-response","45","572689","0.0-5.0-0.40",""
"8400","Stimuli/onevowelslant_rhyme1.mp3","0","audio-button-response","46","581741","0.0-5.0-0.41",""
"8051","Stimuli/endthreevowel_rhyme42.mp3","0","audio-button-response","47","590428","0.0-5.0-0.42",""
"8381","Stimuli/threeVowelSlantRhyme_4.mp3","0","audio-button-response","48","599452","0.0-5.0-0.43",""
"8189","Stimuli/threeVowelSlantRhyme_3.mp3","0","audio-button-response","49","608262","0.0-5.0-0.44",""
"9741","Stimuli/endthreevowel_rhyme24.mp3","0","audio-button-response","50","618609","0.0-5.0-0.45",""
"7872","Stimuli/endthreevowel_rhyme29.mp3","0","audio-button-response","51","627092","0.0-5.0-0.46",""
"8371","Stimuli/endthreevowel_rhyme38.mp3","1","audio-button-response","52","636083","0.0-5.0-0.47",""
"7280","Stimuli/EndTwoVowel_rhyme14.mp3","1","audio-button-response","53","643969","0.0-5.0-0.48",""
"7571","Stimuli/threeVowelSlantRhyme_22.mp3","1","audio-button-response","54","652152","0.0-5.0-0.49",""
"7821","Stimuli/EndTwoVowel_rhyme6.mp3","1","audio-button-response","55","660567","0.0-5.0-0.50",""
"8109","Stimuli/onevowelslant_rhyme8.mp3","1","audio-button-response","56","669304","0.0-5.0-0.51",""
"7371","Stimuli/threeVowelSlantRhyme_21.mp3","0","audio-button-response","57","677288","0.0-5.0-0.52",""
"7832","Stimuli/endthreevowel_rhyme14.mp3","0","audio-button-response","58","685733","0.0-5.0-0.53",""
"8581","Stimuli/threeVowelSlantRhyme_26.mp3","1","audio-button-response","59","694931","0.0-5.0-0.54",""
"11981","Stimuli/endthreevowel_rhyme19.mp3","0","audio-button-response","60","707527","0.0-5.0-0.55",""
"4440","Stimuli/nonrhyme_32_oneline.mp3","1","audio-button-response","61","712555","0.0-5.0-0.56",""
"8571","Stimuli/threeVowelSlantRhyme_1.mp3","1","audio-button-response","62","721729","0.0-5.0-0.57",""
"8501","Stimuli/endthreevowel_rhyme28.mp3","1","audio-button-response","63","730843","0.0-5.0-0.58",""
"9221","Stimuli/endthreevowel_rhyme25.mp3","0","audio-button-response","64","740678","0.0-5.0-0.59",""
"9160","Stimuli/endthreevowel_rhyme36.mp3","1","audio-button-response","65","750464","0.0-5.0-0.60",""
"8928","Stimuli/endthreevowel_rhyme21.mp3","0","audio-button-response","66","760019","0.0-5.0-0.61",""
"12781","Stimuli/threeVowelSlantRhyme_33.mp3","0","audio-button-response","67","773438","0.0-5.0-0.62",""
"9469","Stimuli/EndTwoVowel_rhyme11.mp3","1","audio-button-response","68","783513","0.0-5.0-0.63",""
"8672","Stimuli/endthreevowel_rhyme41.mp3","1","audio-button-response","69","792809","0.0-5.0-0.64",""
"10560","Stimuli/threeVowelSlantRhyme_36.mp3","1","audio-button-response","70","804023","0.0-5.0-0.65",""
"5029","Stimuli/nonrhyme_39_oneline.mp3","1","audio-button-response","71","809627","0.0-5.0-0.66",""
"41139","Stimuli/nonrhyme_9_twolines.mp3","1","audio-button-response","72","851375","0.0-5.0-0.67",""
"5069","Stimuli/nonrhyme_23_oneline.mp3","1","audio-button-response","73","857424","0.0-5.0-0.68",""
"8019","Stimuli/endthreevowel_rhyme12.mp3","1","audio-button-response","74","866066","0.0-5.0-0.69",""
"7851","Stimuli/endthreevowel_rhyme4.mp3","0","audio-button-response","75","874535","0.0-5.0-0.70",""
"7821","Stimuli/endthreevowel_rhyme48.mp3","0","audio-button-response","76","883014","0.0-5.0-0.71",""
"9069","Stimuli/onevowelslant_rhyme3.mp3","1","audio-button-response","77","892763","0.0-5.0-0.72",""
"4928","Stimuli/nonrhyme_21_oneline.mp3","1","audio-button-response","78","898305","0.0-5.0-0.73",""
