"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"5691","Stimuli/onevowelinternalrhyme4.mp3","1","audio-button-response","73","889790","0.0-5.0-0.68",""
"10000","Stimuli/endthreevowel_rhyme37.mp3","0","audio-button-response","74","900511","0.0-5.0-0.69",""
"6683","Stimuli/nonrhyme_11_oneline.mp3","0","audio-button-response","75","907871","0.0-5.0-0.70",""
"44533","Stimuli/threeVowelSlantRhyme_20.mp3","1","audio-button-response","76","953132","0.0-5.0-0.71",""
"7936","Stimuli/EndTwoVowel_rhyme11.mp3","1","audio-button-response","77","961834","0.0-5.0-0.72",""
"7408","Stimuli/threeVowelSlantRhyme_23.mp3","1","audio-button-response","78","969903","0.0-5.0-0.73",""
"8544","Stimuli/threeVowelSlantRhyme_31.mp3","1","audio-button-response","79","979188","0.0-5.0-0.74",""
"9189","Stimuli/endthreevowel_rhyme50.mp3","1","audio-button-response","80","989129","0.0-5.0-0.75",""
"9125","Stimuli/endthreevowel_rhyme2.mp3","1","audio-button-response","81","998985","0.0-5.0-0.76",""
"4928","Stimuli/onevowelinternalrhyme3.mp3","1","audio-button-response","82","1004570","0.0-5.0-0.77",""
"8699","Stimuli/EndTwoVowel_rhyme6.mp3","1","audio-button-response","83","1013983","0.0-5.0-0.78",""
"8757","Stimuli/endthreevowel_rhyme29.mp3","1","audio-button-response","84","1023448","0.0-5.0-0.79",""
"7104","Stimuli/nonrhyme_27_oneline.mp3","1","audio-button-response","85","1031215","0.0-5.0-0.80",""
"5253","Stimuli/nonrhyme_37_oneline.mp3","0","audio-button-response","86","1037130","0.0-5.0-0.81",""
"8037","Stimuli/endthreevowel_rhyme46.mp3","0","audio-button-response","87","1045905","0.0-5.0-0.82",""
