"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"7720","Stimuli/nonrhyme_17_oneline.mp3","0","audio-button-response","82","1463039","0.0-5.0-0.77",""
"7904","Stimuli/threeVowelSlantRhyme_22.mp3","0","audio-button-response","83","1471620","0.0-5.0-0.78",""
"8187","Stimuli/EndTwoVowel_rhyme14.mp3","0","audio-button-response","84","1480483","0.0-5.0-0.79",""
"8651","Stimuli/endthreevowel_rhyme2.mp3","0","audio-button-response","85","1489817","0.0-5.0-0.80",""
"6659","Stimuli/onevowelinternalrhyme4.mp3","1","audio-button-response","86","1497267","0.0-5.0-0.81",""
"9632","Stimuli/endthreevowel_rhyme16.mp3","0","audio-button-response","87","1507675","0.0-5.0-0.82",""
"8851","Stimuli/nonrhyme_15_oneline.mp3","1","audio-button-response","88","1517188","0.0-5.0-0.83",""
"9613","Stimuli/nonrhyme_1_twolines.mp3","1","audio-button-response","89","1527618","0.0-5.0-0.84",""
"9109","Stimuli/threeVowelSlantRhyme_19.mp3","1","audio-button-response","90","1537482","0.0-5.0-0.85",""
"8707","Stimuli/endthreevowel_rhyme4.mp3","0","audio-button-response","91","1546917","0.0-5.0-0.86",""
"9141","Stimuli/threeVowelSlantRhyme_10.mp3","0","audio-button-response","92","1556787","0.0-5.0-0.87",""
"12381","Stimuli/threeVowelSlantRhyme_43.mp3","0","audio-button-response","93","1569965","0.0-5.0-0.88",""
"8859","Stimuli/nonrhyme_10_twolines.mp3","0","audio-button-response","94","1579551","0.0-5.0-0.89",""
"11389","Stimuli/endthreevowel_rhyme27.mp3","1","audio-button-response","95","1591814","0.0-5.0-0.90",""
"11499","Stimuli/threeVowelSlantRhyme_42.mp3","0","audio-button-response","96","1604132","0.0-5.0-0.91",""
"8872","Stimuli/EndTwoVowel_rhyme12.mp3","0","audio-button-response","97","1613739","0.0-5.0-0.92",""
"10123","Stimuli/endthreevowel_rhyme10.mp3","0","audio-button-response","98","1624615","0.0-5.0-0.93",""
"10728","Stimuli/endthreevowel_rhyme48.mp3","0","audio-button-response","99","1636079","0.0-5.0-0.94",""
"10955","Stimuli/threeVowelSlantRhyme_15.mp3","1","audio-button-response","100","1647766","0.0-5.0-0.95",""
"5901","Stimuli/onevowelinternalrhyme3.mp3","1","audio-button-response","101","1654297","0.0-5.0-0.96",""
"9467","Stimuli/threeVowelSlantRhyme_6.mp3","0","audio-button-response","102","1664467","0.0-5.0-0.97",""
"9200","Stimuli/endthreevowel_rhyme11.mp3","0","audio-button-response","103","1674502","0.0-5.0-0.98",""
"535502","","{""Q0"":""This was really hard. Found myself trying to listen for rhythm, ‘syntax’ (if I could use that word), and other formation characteristics of the utterances.  Of course, this didn’t work reliably. So I rated utterances subjectively (ones that sounded more ‘sensible’ or ‘typical’ as prose, the other more creative-sounding ones as poetry). ""}","survey-text","104","2210614","0.0-6.0",""
