"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"8501","Stimuli/onevowelend_rhyme6.mp3","0","audio-button-response","60","2897651","0.0-5.0-0.55",""
"9520","Stimuli/threeVowelSlantRhyme_27.mp3","1","audio-button-response","61","2908140","0.0-5.0-0.56",""
"9019","Stimuli/threeVowelSlantRhyme_20.mp3","0","audio-button-response","62","2918648","0.0-5.0-0.57",""
"11360","Stimuli/endthreevowel_rhyme17.mp3","0","audio-button-response","63","2931002","0.0-5.0-0.58",""
"11459","Stimuli/threeVowelSlantRhyme_48.mp3","0","audio-button-response","64","2943624","0.0-5.0-0.59",""
"10501","Stimuli/endthreevowel_rhyme11.mp3","1","audio-button-response","65","2955360","0.0-5.0-0.60",""
"5640","Stimuli/onevowelinternalrhyme2.mp3","0","audio-button-response","66","2961903","0.0-5.0-0.61",""
"9619","Stimuli/nonrhyme_2_twolines.mp3","0","audio-button-response","67","2972232","0.0-5.0-0.62",""
"8941","Stimuli/onevowelslant_rhyme3.mp3","1","audio-button-response","68","2982096","0.0-5.0-0.63",""
"5600","Stimuli/onevowelinternalrhyme4.mp3","1","audio-button-response","69","2988637","0.0-5.0-0.64",""
"12200","Stimuli/threeVowelSlantRhyme_33.mp3","1","audio-button-response","70","3001774","0.0-5.0-0.65",""
"6920","Stimuli/nonrhyme_16_oneline.mp3","1","audio-button-response","71","3009497","0.0-5.0-0.66",""
"9699","Stimuli/endthreevowel_rhyme45.mp3","1","audio-button-response","72","3020269","0.0-5.0-0.67",""
"8459","Stimuli/EndTwoVowel_rhyme4.mp3","0","audio-button-response","73","3029710","0.0-5.0-0.68",""
"9901","Stimuli/nonrhyme_8_twolines.mp3","1","audio-button-response","74","3040643","0.0-5.0-0.69",""
"8229","Stimuli/threeVowelSlantRhyme_13.mp3","0","audio-button-response","75","3050051","0.0-5.0-0.70",""
"6381","Stimuli/nonrhyme_15_oneline.mp3","1","audio-button-response","76","3057330","0.0-5.0-0.71",""
"7461","Stimuli/onevowelinternalrhyme5.mp3","1","audio-button-response","77","3065651","0.0-5.0-0.72",""
"8040","Stimuli/EndTwoVowel_rhyme9.mp3","0","audio-button-response","78","3074641","0.0-5.0-0.73",""
"4661","Stimuli/nonrhyme_12_oneline.mp3","1","audio-button-response","79","3079761","0.0-5.0-0.74",""
"4624","Stimuli/nonrhyme_11_oneline.mp3","1","audio-button-response","80","3085567","0.0-5.0-0.75",""
"8080","Stimuli/threeVowelSlantRhyme_24.mp3","0","audio-button-response","81","3094706","0.0-5.0-0.76",""
"9619","Stimuli/endthreevowel_rhyme23.mp3","0","audio-button-response","82","3105228","0.0-5.0-0.77",""
"5539","Stimuli/nonrhyme_32_oneline.mp3","1","audio-button-response","83","3111606","0.0-5.0-0.78",""
"9179","Stimuli/endthreevowel_rhyme16.mp3","0","audio-button-response","84","3121746","0.0-5.0-0.79",""
"11219","Stimuli/threeVowelSlantRhyme_46.mp3","0","audio-button-response","85","3134436","0.0-5.0-0.80",""
"8520","Stimuli/threeVowelSlantRhyme_30.mp3","1","audio-button-response","86","3144922","0.0-5.0-0.81",""
"7501","Stimuli/nonrhyme_5_twolines.mp3","1","audio-button-response","87","3153494","0.0-5.0-0.82",""
"8181","Stimuli/endthreevowel_rhyme6.mp3","0","audio-button-response","88","3162731","0.0-5.0-0.83",""
"8475","Stimuli/onevowelend_rhyme8.mp3","1","audio-button-response","89","3172206","0.0-5.0-0.84",""
"8499","Stimuli/endthreevowel_rhyme46.mp3","0","audio-button-response","90","3181778","0.0-5.0-0.85",""
